b'    Time,      Link,Lane,     VehNo,   VehType,      Line,DesSpeed,\r\n',datetime
1.2,         4,  1,         1,       100,         0,  56.4,\r\n',2020-01-02 09:24:55.200
3.7,         2,  1,         2,       100,         0,  51.0,\r\n',2020-01-02 09:24:57.700
6.2,         2,  1,         3,       100,         0,  54.6,\r\n',2020-01-02 09:25:00.200
9.8,         3,  1,         4,       100,         0,  54.6,\r\n',2020-01-02 09:25:03.800
10.7,         4,  1,         5,       100,         0,  53.8,\r\n',2020-01-02 09:25:04.700
17.3,         4,  1,         6,       100,         0,  49.6,\r\n',2020-01-02 09:25:11.300
18.6,         3,  1,         7,       100,         0,  53.2,\r\n',2020-01-02 09:25:12.600
20.0,         2,  1,         8,       100,         0,  55.9,\r\n',2020-01-02 09:25:14.000
22.6,         4,  1,         9,       100,         0,  50.8,\r\n',2020-01-02 09:25:16.600
22.9,         3,  1,        10,       100,         0,  57.1,\r\n',2020-01-02 09:25:16.900
23.0,         1,  1,        11,       100,         0,  52.8,\r\n',2020-01-02 09:25:17.000
24.7,         4,  1,        12,       100,         0,  50.9,\r\n',2020-01-02 09:25:18.700
26.4,         1,  1,        13,       100,         0,  49.5,\r\n',2020-01-02 09:25:20.400
28.2,         1,  1,        14,       100,         0,  53.6,\r\n',2020-01-02 09:25:22.200
30.7,         1,  1,        15,       100,         0,  48.7,\r\n',2020-01-02 09:25:24.700
33.5,         1,  1,        16,       100,         0,  57.6,\r\n',2020-01-02 09:25:27.500
36.9,         2,  1,        17,       100,         0,  51.1,\r\n',2020-01-02 09:25:30.900
40.0,         4,  1,        18,       100,         0,  54.8,\r\n',2020-01-02 09:25:34.000
49.8,         1,  1,        19,       100,         0,  57.6,\r\n',2020-01-02 09:25:43.800
52.6,         2,  1,        21,       100,         0,  55.9,\r\n',2020-01-02 09:25:46.600
53.0,         3,  1,        22,       100,         0,  49.0,\r\n',2020-01-02 09:25:47.000
53.6,         4,  1,        23,       100,         0,  52.3,\r\n',2020-01-02 09:25:47.600
53.8,         1,  1,        20,       100,         0,  49.2,\r\n',2020-01-02 09:25:47.800
60.0,         4,  1,        25,       100,         0,  53.9,\r\n',2020-01-02 09:25:54.000
70.6,         3,  1,        26,       100,         0,  55.5,\r\n',2020-01-02 09:26:04.600
71.0,         2,  1,        27,       100,         0,  53.7,\r\n',2020-01-02 09:26:05.000
79.7,         2,  1,        29,       100,         0,  56.2,\r\n',2020-01-02 09:26:13.700
80.3,         4,  1,        28,       100,         0,  58.0,\r\n',2020-01-02 09:26:14.300
83.4,         2,  1,        30,       100,         0,  55.6,\r\n',2020-01-02 09:26:17.400
90.3,         4,  1,        31,       100,         0,  55.5,\r\n',2020-01-02 09:26:24.300
94.2,         3,  1,        32,       100,         0,  49.8,\r\n',2020-01-02 09:26:28.200
94.5,         2,  1,        33,       100,         0,  51.5,\r\n',2020-01-02 09:26:28.500
95.9,         1,  1,        24,       200,         0,  54.8,\r\n',2020-01-02 09:26:29.900
96.3,         4,  1,        35,       100,         0,  53.0,\r\n',2020-01-02 09:26:30.300
100.6,         3,  1,        37,       100,         0,  52.8,\r\n',2020-01-02 09:26:34.600
107.3,         2,  1,        38,       100,         0,  52.0,\r\n',2020-01-02 09:26:41.300
108.2,         3,  1,        39,       100,         0,  55.1,\r\n',2020-01-02 09:26:42.200
124.9,         3,  1,        40,       100,         0,  56.4,\r\n',2020-01-02 09:26:58.900
133.9,         2,  1,        41,       100,         0,  52.7,\r\n',2020-01-02 09:27:07.900
145.5,         2,  1,        42,       100,         0,  53.0,\r\n',2020-01-02 09:27:19.500
148.1,         3,  1,        43,       100,         0,  56.3,\r\n',2020-01-02 09:27:22.100
152.0,         4,  1,        36,       100,         0,  53.0,\r\n',2020-01-02 09:27:26.000
152.6,         3,  1,        45,       100,         0,  51.0,\r\n',2020-01-02 09:27:26.600
153.8,         1,  1,        34,       100,         0,  56.1,\r\n',2020-01-02 09:27:27.800
154.6,         3,  1,        47,       100,         0,  56.3,\r\n',2020-01-02 09:27:28.600
156.3,         3,  1,        48,       100,         0,  51.2,\r\n',2020-01-02 09:27:30.300
156.6,         2,  1,        50,       100,         0,  53.9,\r\n',2020-01-02 09:27:30.600
157.9,         3,  1,        49,       100,         0,  48.3,\r\n',2020-01-02 09:27:31.900
160.3,         2,  1,        51,       100,         0,  56.9,\r\n',2020-01-02 09:27:34.300
162.9,         4,  1,        44,       100,         0,  53.7,\r\n',2020-01-02 09:27:36.900
164.6,         2,  1,        53,       100,         0,  54.9,\r\n',2020-01-02 09:27:38.600
165.6,         3,  1,        54,       200,         0,  54.8,\r\n',2020-01-02 09:27:39.600
165.6,         1,  1,        46,       100,         0,  52.0,\r\n',2020-01-02 09:27:39.600
166.5,         4,  1,        52,       100,         0,  54.9,\r\n',2020-01-02 09:27:40.500
